date;Finland;Angola;New Zealand
2020-11-22;0.40081188100868964;0.04704028547834936;0.04155153003786716
2020-11-23;0.4056505468417285;0.04749793263576655;0.04157199877187596
2020-11-24;0.41478420818948725;0.04784847088400099;0.04173574864394637
2020-11-25;0.42331983218709507;0.048104883121135436;0.04175621737795517
2020-11-26;0.43453756308840985;0.04842620984868368;0.041899498516016785
2020-11-27;0.4437799584998323;0.04871183360650433;0.04196090471804319
2020-11-28;0.45204374733828073;0.04896824584363878;0.04196090471804319
2020-11-29;0.45719049301836695;0.049020177435969814;0.04208371712209599
2020-11-30;0.46250033979394894;0.04913702351871462;0.0421451233241224
2020-12-01;0.4733012567845525;0.049500544665031815;0.0421655920581312
2020-12-02;0.48127508811989744;0.04972125393243868;0.04234981066421042
2020-12-03;0.4902456483721605;0.04985757436230763;0.04234981066421042
2020-12-04;0.49890812877737606;0.050286009999038615;0.04253402927028963
2020-12-05;0.5074799974628719;0.050425576153428256;0.04253402927028963
2020-12-06;0.5120105834488633;0.050604091002066164;0.04255449800429843
2020-12-07;0.5171392067850056;0.05078909729974545;0.042677310408351245
2020-12-08;0.5277770226801135;0.05105200098592128;0.04273871661037765
2020-12-09;0.5364395030853291;0.051295430324972975;0.04273871661037765
2020-12-10;0.5448120259874412;0.05168816299197638;0.04282059154641285
2020-12-11;0.5521878199726352;0.05212958152679011;0.04282059154641285
2020-12-12;0.5602885077155879;0.05245415397885903;0.04290246648244806
2020-12-13;0.5648009713576354;0.05254178854091764;0.04290246648244806
2020-12-14;0.5698027382861699;0.052830658023258995;0.04290246648244806
2020-12-15;0.578193383532226;0.053106544607517576;0.042984341418483264
2020-12-16;0.5847174273520537;0.053252602210948595;0.042984341418483264
2020-12-17;0.5910964924203297;0.053502522999041666;0.04318902875857128
2020-12-18;0.5969862542021185;0.05375568951165542;0.04318902875857128
2020-12-19;0.604126457716041;0.05396341588097954;0.04331184116262409
2020-12-20;0.6075878254093384;0.05402183892235195;0.0434141848326681
2020-12-21;0.6120096773316661;0.0541581593522209;0.0434141848326681
2020-12-22;0.6188055563106533;0.054534663396620844;0.04355746597072971
2020-12-23;0.6248221745000498;0.054953361859789766;0.04355746597072971
2020-12-24;0.6298420637725283;0.055271442862817315;0.04355746597072971
2020-12-25;0.6323429472367956;0.05549864357926556;0.04355746597072971
2020-12-26;0.6351881552359983;0.055660929805300026;0.043884965714870536
2020-12-27;0.6385045441777439;0.05595629073668274;0.043884965714870536
2020-12-28;0.6419659118710415;0.05613805130984135;0.04402824685293215
2020-12-29;0.6498491314866666;0.056381480648893034;0.04402824685293215
2020-12-30;0.655430813421408;0.056582715569175775;0.044253402927028965
2020-12-31;0.6600520111271191;0.056972202511658486;0.044253402927028965
2021-01-01;0.6646550864888865;0.057020888379468816;0.044253402927028965
2021-01-02;0.6669747465137141;0.05715071736029639;0.044642308873196195
2021-01-03;0.6706898270222271;0.057261071993999824;0.044642308873196195
2021-01-04;0.6737525031487572;0.05739739242386877;0.0447446525432402
2021-01-05;0.6809470736945117;0.0576310845893584;0.0447446525432402
2021-01-06;0.6856951278078307;0.05798162283759283;0.04478559001125781
2021-01-07;0.6894645753481756;0.058338652534868654;0.04478559001125781
2021-01-08;0.6954811935375721;0.05863725919077207;0.04478559001125781
2021-01-09;0.7000480242114515;0.0589293743976341;0.045420120765530654
2021-01-10;0.7035456365926369;0.059049466204899606;0.04548152696755706
2021-01-11;0.7069526372541024;0.05924745540066165;0.04548152696755706
2021-01-12;0.7139478620164732;0.05953632488300299;0.04560433937160987
2021-01-13;0.7180978787796414;0.05980247429369951;0.04560433937160987
2021-01-14;0.7227734435171845;0.06041267050358909;0.04597277658376829
2021-01-15;0.7272677848152881;0.06062688832195458;0.04597277658376829
2021-01-16;0.7320883283043829;0.06090602063073385;0.04617746392385631
